Single-player
Steam Achievements
Steam Trading Cards
Partial Controller Support
Steam Cloud
Full controller support
Downloadable Content
Multi-player
Online Multi-Player
MMO
Co-op
Online Co-op
In-App Purchases
Cross-Platform Multiplayer
Steam is learning about this game 
Steam is learning about this downloadable content 
Local Multi-Player
Shared/Split Screen
Steam Leaderboards
Local Co-op
Stats
Captions available
HTC Vive
Oculus Rift
Windows Mixed Reality
Tracked Motion Controllers
Seated
Standing
Room-Scale
Commentary available
Gamepad
Keyboard / Mouse
Steam Workshop
Includes level editor
Valve Anti-Cheat enabled
Game demo
Steam Turn Notifications
SteamVR Collectibles
Includes Source SDK
Mods
Mods (require HL2)
Steam is learning about this software 
