App ID, App Name
32000,Raycatcher
32010,Raycatcher Demo
32110,Luxor Mahjong
32117,Luxor Mahjong - Demo
32120,Chainz 2: Relinked
32127,Chainz 2: Relinked Demo
32130,Penguins' Journey
32135,Penguins' Journey - Demo
32140,Midnight Mysteries: The Edgar Allan Poe Conspiracy
32150,Everyday Genius: SquareLogic
32159,Everyday Genius: SquareLogic Demo
32160,Zombie Bowl-O-Rama
32162,Zombie Bowl-O-Rama Demo
32200,Metal Drift
32210,Metal Drift - Demo
32310,Indiana Jones and the Last Crusade
32330,LEGOⓇ Indiana Jones™: The Original Adventures
32340,Loom
32350,STAR WARS™ Starfighter™
32360,The Secret of Monkey Island: Special Edition
32370,STAR WARS™: Knights of the Old Republic™
32380,STAR WARS™ Jedi Knight: Dark Forces II
32390,STAR WARS™ Jedi Knight: Mysteries of the Sith™
32400,STAR WARS™: Dark Forces
32410,Lucidity
32420,STAR WARS™: The Clone Wars - Republic Heroes™
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition
32450,LEGO® Indiana Jones™ 2: The Adventure Continues
32460,Monkey Island 2: Special Edition
29710,Guild Wars: Eye of the North (EU)
29720,Guild Wars
29800,Caster
29900,Dark Sector
30000,Tom Bui Test App
30010,ValveTestApp30010
30040,ValveTestApp30040
31100,Wallace & Gromit Ep 1: Fright of the Bumblebees
31109,Wallace & Gromit's Grand Adventures
31110,Wallace & Gromit Ep 2: The Last Resort
31120,Wallace & Gromit Ep 3: Muzzled!
31130,Wallace & Gromit Ep 4: The Bogey Man
31139,Wallace & Gromit Ep4: The Bogey Man
31160,Wallace & Gromit Demo
31170,Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal
31180,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay 
31189,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay
31190,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan 
31199,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan
31200,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood 
31209,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood
31210,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God
31219,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God
31220,Sam & Max 301: The Penal Zone
31229,Sam & Max: The Devil’s Playhouse (Pre-Order)
31230,Sam & Max 302: The Tomb of Sammun-Mak
31240,Sam & Max 303: They Stole Max's Brain!
31250,Sam & Max 304: Beyond the Alley of the Dolls
31260,Sam & Max 305: The City that Dares not Sleep
31270,Puzzle Agent
31280,Poker Night at the Inventory
31290,Back to the Future: Ep 1 - It's About Time
31300,Tunnel Rats 1968
31410,Zombie Driver
31419,Zombie Driver
31420,Zombie Driver: Summer of Slaughter DLC
31700,Iron Grip: Warlord
31710,Iron Grip: Warlord - Demo
31713,IGW - Scorched Earth DLC
31720,Iron Grip: Warlord Dedicated Server
31740,Iron Grip: Marauders
31800,Nancy Drew: Danger By Design
31810,Nancy Drew: Last Train to Blue Moon Canyon
31820,Nancy Drew: The Haunted Carousel
31830,Nancy Drew: Curse of Blackmoor Manor 
31840,Nancy Drew: Danger on Deception Island 
31850,Nancy Drew: Ghost Dogs of Moon Lake 
28011,Kane and Lynch 2: Alliance Weapon Pack DLC
28012,Kane and Lynch 2: Multiplayer Masks Pack DLC
28013,Kane and Lynch 2: Greed Betrayal Revenge DLC
28014,Kane and Lynch 2: Goodbye Kitty GUN DLC
28015,Kane and Lynch 2: Alliance Assault Pack DLC
28017,Kane and Lynch 2: Radio Tower DLC
28019,Kane & Lynch 2: Dog Days Pre-Order
28020,Kane & Lynch 2: Dog Days Demo
28050,Deus Ex: Human Revolution
28060,Explosive Mission Pack
28061,Tactical Enhancement Pack
28110,Deus Ex Human Revolution Augmented Edition Bonus Content
29017,Blood Bowl 2 - Review
29100,Osmos IGF Demo
29110,Retro/Grade IGF Demo
29120,Yumsters! 2: Around the World!
29130,Musaic Box
29140,Between IGF Demo
29150,Mightier
29160,Blueberry Garden
29170,Blueberry Garden Demo
29180,Osmos
29200,Osmos Demo
29500,City of Heroes: Architect Edition
29520,Lineage
29530,Lineage II: The Chaotic Throne
29540,Guild Wars: Game of the Year Edition
29550,City of Heroes
29560,Guild Wars: Factions
29570,Guild Wars: Trilogy
29580,Guild Wars: Nightfall
29590,Lineage II: The Chaotic Throne
29600,Guild Wars: Game of the Year
29610,Guild Wars: Factions
